,n_a,n_d,n_steps,Mean Loss,Mean Train Acc,Mean Valid Acc,Max Loss,Max Train Acc,Max Valid Acc
0,4,4,3,1.7025443279336812,0.18294886214510173,0.18294886214510173,2.710660715220655,0.23998096001312785,0.2394783902337928
1,4,4,5,1.7792593272137132,0.16278849981815274,0.16278849981815274,3.220025092064921,0.2435012592236344,0.24145925944800653
2,4,4,7,1.7602344536672045,0.16912555895532427,0.16912555895532427,3.14060989385806,0.2148428142434922,0.2143654352839957
3,4,16,3,1.509581199550276,0.2831600768234932,0.2831600768234932,2.5710349167788538,0.4006368980302992,0.3947283730074366
4,4,16,5,1.5413445076431638,0.28840859085330206,0.28840859085330206,2.965723344635665,0.3769375139227577,0.37421566545203694
5,4,16,7,1.4769191483382529,0.32449380331000754,0.32449380331000754,2.686734796284896,0.41579521269581626,0.41421835356307407
6,4,32,3,1.4093255486074965,0.33921808576590184,0.33921808576590184,2.4729608590340595,0.476886440096038,0.4693828970045036
7,4,32,5,1.403360153183295,0.36968832803752777,0.36968832803752777,2.5223268255478475,0.47566686407064157,0.4721128080508196
8,4,32,7,1.450434951838008,0.3568203316425426,0.3568203316425426,2.7653937693914648,0.4673496695036826,0.46610227088586775
9,4,64,3,1.3469554615382324,0.3780980353590971,0.3780980353590971,2.273956338832281,0.5278332235909138,0.5257566202170816
10,4,64,5,1.354143395140021,0.39211171158730795,0.39211171158730795,2.4935183179028435,0.5058450243763258,0.49610580459398185
11,4,64,7,1.4027665411217152,0.386483214242556,0.386483214242556,2.9625516040464475,0.5136671541052709,0.4899762600052561
12,16,4,3,1.603282521180883,0.2176689050866254,0.2176689050866254,2.655533685673853,0.2876019518384951,0.28632295604111513
13,16,4,5,1.8026787193753926,0.18369200179244086,0.18369200179244086,3.2486943863755635,0.24385385438575752,0.24429753581411598
14,16,4,7,1.7789562271880652,0.18422032388721246,0.18422032388721246,2.8426154923801796,0.23925972164709713,0.23925725357119668
15,16,16,3,1.4548155119236224,0.3111503624684831,0.3111503624684831,2.588111932825768,0.4414108381452285,0.43705000373994557
16,16,16,5,1.4378770507140841,0.3249855451616986,0.3249855451616986,2.3221116918652136,0.42937316443804546,0.4248561171874812
17,16,16,7,1.5339717422734096,0.2965078861481888,0.2965078861481888,2.983965716853012,0.37825317417418985,0.3735708732220235
18,16,32,3,1.36508507414019,0.3490155666331437,0.3490155666331437,2.321603879638946,0.47771648270418404,0.47696496767665714
19,16,32,5,1.413322017293717,0.3658136308768165,0.3658136308768165,2.5692526413096592,0.4684034511541292,0.4639634754476809
20,16,32,7,1.4207680452450782,0.3819121348980208,0.3819121348980208,2.6287108899840126,0.49337421585221014,0.4879002031255608
21,16,64,3,1.313670841169962,0.415358702222213,0.415358702222213,2.231711138339716,0.5365825025183745,0.5285796938792583
22,16,64,5,1.3561828992368516,0.4339881870071177,0.4339881870071177,2.550933234236501,0.5350357581908862,0.519210334753892
23,16,64,7,1.4154558017686567,0.422771114384554,0.422771114384554,3.078090813797262,0.5337067872524343,0.5023700183913783
24,32,4,3,1.6250191127806342,0.23015955779586394,0.23015955779586394,2.948879167627266,0.3229848640074721,0.3206495528398841
25,32,4,5,1.5781702838964584,0.23039674246583242,0.23039674246583242,2.5066801931737728,0.30258505816427095,0.3013217917988515
26,32,4,7,1.7011839727619702,0.2011647803349212,0.2011647803349212,3.1473282568299137,0.28545113520359966,0.2837361385013308
27,32,16,3,1.4364701680856646,0.3209890972672617,0.3209890972672617,2.6228313321446763,0.43378141424109534,0.429157019260434
28,32,16,5,1.4518613336342945,0.32368939454972906,0.32368939454972906,2.4480041182337566,0.43020762153686326,0.4276762786714156
29,32,16,7,1.4664830347690454,0.32384679220881435,0.32384679220881435,2.581073378357839,0.43075080842626545,0.4275800490549269
30,32,32,3,1.3389030349553164,0.3879131595011345,0.3879131595011345,2.2736611397598825,0.5201700532046986,0.5109055972835473
31,32,32,5,1.3902214635921815,0.38111514495722665,0.38111514495722665,2.2647450737492076,0.47427777732448745,0.47320232000163553
32,32,32,7,1.4203962613405747,0.36545176910398997,0.36545176910398997,2.555760225575715,0.4671083672290427,0.4673457518189954
33,32,64,3,1.3304783525251458,0.39528893970027995,0.39528893970027995,2.346237727723115,0.5192377143493778,0.5156972691821687
34,32,64,5,1.3123671348640154,0.4253719276933439,0.4253719276933439,2.3442587313590986,0.5536081332979975,0.5397406234561999
35,32,64,7,1.426941605196922,0.3985305867329656,0.3985305867329656,3.1646465695996238,0.49692825185591966,0.4970990538758626
36,64,4,3,1.6162721426252724,0.24834329493505267,0.24834329493505267,2.912184417959659,0.33341990860356086,0.3318708282210154
37,64,4,5,1.6585595034485028,0.21224174892213282,0.21224174892213282,2.8593800170292547,0.274794102537237,0.27579326755918526
38,64,4,7,1.707441587288395,0.2107882524121611,0.2107882524121611,3.162488061817075,0.2863749004965563,0.28473989581615466
39,64,16,3,1.3782788895308458,0.3472083173855099,0.3472083173855099,2.5009439081573595,0.49685815575025116,0.4936895320161429
40,64,16,5,1.38939257053667,0.3640492862665735,0.3640492862665735,2.45676474759515,0.496735961768594,0.49531145906096863
41,64,16,7,1.459639991023802,0.34577508033586046,0.34577508033586046,2.613054031135928,0.43938808789348643,0.4354487930478458
42,64,32,3,1.321727908623139,0.38873030777924017,0.38873030777924017,2.172752076093761,0.5173660162104748,0.5199648543648837
43,64,32,5,1.3312891783915042,0.39788081215509824,0.39788081215509824,2.316323623508955,0.5117875299381562,0.507505706227166
44,64,32,7,1.4045283636104708,0.3776880851323596,0.3776880851323596,2.541892119884558,0.47263009483152785,0.4673761265771261
45,64,64,3,1.3224884396128336,0.3908558274752256,0.3908558274752256,2.223986960231823,0.5522312993561937,0.5440878459995907
46,64,64,5,1.349708432186424,0.4006739787186273,0.4006739787186273,2.565930763376588,0.5212350835351671,0.5121240363140316
47,64,64,7,1.4142200169068782,0.38711856203572503,0.38711856203572503,2.7783460349965314,0.5028082665050386,0.4902659251307871
