,gamma,lambda_sparse,momentum,Mean Loss,Mean Train Acc,Mean Valid Acc,Max Loss,Max Train Acc,Max Valid Acc
0,1.0,0.0,0.6,1.6134033791009497,0.22270344549659393,0.22270344549659393,2.8230317427018705,0.2764948904492844,0.2763365838467595
1,1.0,0.0,0.9,1.6134033791009497,0.22240068636757154,0.22240068636757154,2.8230317427018705,0.27659731821831035,0.27605950146588437
2,1.0,0.0,0.98,1.6134033791009497,0.22234970951511945,0.22234970951511945,2.8230317427018705,0.2766252786065269,0.2760659262769201
3,1.0,1e-06,0.6,1.604694010577397,0.23277290522967645,0.23277290522967645,2.8214929252417744,0.2999897544264791,0.30233955607294444
4,1.0,1e-06,0.9,1.604694010577397,0.23257720816705288,0.23257720816705288,2.8214929252417744,0.3021457072483536,0.3043825391751095
5,1.0,1e-06,0.98,1.604694010577397,0.2325535000117842,0.2325535000117842,2.8214929252417744,0.30258713007618243,0.30385460464637154
6,1.0,0.01,0.6,1.6290530316881544,0.22155754191291047,0.22155754191291047,2.8354823328238417,0.27987938101252174,0.28039293426776796
7,1.0,0.01,0.9,1.6290530316881544,0.22137655390999061,0.22137655390999061,2.8354823328238417,0.28010511450021836,0.2805199718834004
8,1.0,0.01,0.98,1.6290530316881544,0.22131111999420572,0.22131111999420572,2.8354823328238417,0.2801847645195769,0.2804829971852312
9,1.0,0.1,0.6,1.68121878796654,0.22767062316153006,0.22767062316153006,2.8991223379595414,0.28773605389746737,0.2877169437685796
10,1.0,0.1,0.9,1.68121878796654,0.227800434381785,0.227800434381785,2.8991223379595414,0.28805296916262707,0.28799373812679485
11,1.0,0.1,0.98,1.68121878796654,0.22779881911873573,0.22779881911873573,2.8991223379595414,0.28801564464068613,0.28806515120783494
12,1.2,0.0,0.6,1.5846923683321628,0.23948053592718574,0.23948053592718574,2.833938515632335,0.2934665335720679,0.28966564992497423
13,1.2,0.0,0.9,1.5846923683321628,0.23925638185651277,0.23925638185651277,2.833938515632335,0.292082891306945,0.2895035969937975
14,1.2,0.0,0.98,1.5846923683321628,0.23918855494392716,0.23918855494392716,2.833938515632335,0.291400796526039,0.28905671462113786
15,1.2,1e-06,0.6,1.578161311666181,0.24433106864729917,0.24433106864729917,2.83753840079049,0.30335460057332375,0.30522831087874347
16,1.2,1e-06,0.9,1.578161311666181,0.2439820933510623,0.2439820933510623,2.83753840079049,0.30198562046653293,0.3035069104703363
17,1.2,1e-06,0.98,1.578161311666181,0.24390335102211083,0.24390335102211083,2.83753840079049,0.3016556000696569,0.3026609008685804
18,1.2,0.01,0.6,1.6384184113827274,0.2251023595269026,0.2251023595269026,2.8534139340733797,0.2882305840532252,0.2879397088968068
19,1.2,0.01,0.9,1.6384184113827274,0.2250244523865666,0.2250244523865666,2.8534139340733797,0.28839535839445196,0.2886218798416458
20,1.2,0.01,0.98,1.6384184113827274,0.22502468338991877,0.22502468338991877,2.8534139340733797,0.2889472122812269,0.2892379750256367
21,1.2,0.1,0.6,1.6710966500341946,0.232407058020689,0.232407058020689,2.9055564601596937,0.2841850497514356,0.28646764023535237
22,1.2,0.1,0.9,1.6710966500341946,0.23237953293829977,0.23237953293829977,2.9055564601596937,0.28279706807595395,0.2857548692231274
23,1.2,0.1,0.98,1.6710966500341946,0.23237984376396698,0.23237984376396698,2.9055564601596937,0.28252866945819094,0.28531850348500787
24,1.5,0.0,0.6,1.629856173253519,0.21666181042291494,0.21666181042291494,2.8324090140406426,0.2916256054019341,0.2936743235889499
25,1.5,0.0,0.9,1.629856173253519,0.2169778054566121,0.2169778054566121,2.8324090140406426,0.29022228455478327,0.29293448397924066
26,1.5,0.0,0.98,1.629856173253519,0.21702592299402848,0.21702592299402848,2.8324090140406426,0.2900080103380549,0.2928291482567592
27,1.5,1e-06,0.6,1.618229584419056,0.22082275553579,0.22082275553579,2.8338770321970044,0.3065864189867924,0.3093465638015677
28,1.5,1e-06,0.9,1.618229584419056,0.22089599660614465,0.22089599660614465,2.8338770321970044,0.30596342709060365,0.30852243742484564
29,1.5,1e-06,0.98,1.618229584419056,0.2208577146038128,0.2208577146038128,2.8338770321970044,0.3056607565505934,0.30832233924094193
30,1.5,0.01,0.6,1.6466377044151392,0.2203453770265386,0.2203453770265386,2.861115827079935,0.27045720008587126,0.2718399130959474
31,1.5,0.01,0.9,1.6466377044151392,0.22040074995256873,0.22040074995256873,2.861115827079935,0.2706714372581516,0.27110306641193344
32,1.5,0.01,0.98,1.6466377044151392,0.22037258954155173,0.22037258954155173,2.861115827079935,0.27062778628779277,0.2710023307350426
33,1.5,0.1,0.6,1.7081230856730738,0.2082241080676568,0.2082241080676568,2.9118038939764364,0.2654968027574032,0.27150168060160906
34,1.5,0.1,0.9,1.7081230856730738,0.2081676192728732,0.2081676192728732,2.9118038939764364,0.26644885402277435,0.2697315532385814
35,1.5,0.1,0.98,1.7081230856730738,0.20806973731752781,0.20806973731752781,2.9118038939764364,0.26681750950578553,0.2695256564075126
36,2.0,0.0,0.6,1.6706433099684805,0.21170275261441165,0.21170275261441165,2.8493519617552088,0.2794809216576243,0.2811832603877363
37,2.0,0.0,0.9,1.6706433099684805,0.21195679898294487,0.21195679898294487,2.8493519617552088,0.27881499644308855,0.28173770777414464
38,2.0,0.0,0.98,1.6706433099684805,0.2120177195645368,0.2120177195645368,2.8493519617552088,0.27867253090701144,0.28175218308723776
39,2.0,1e-06,0.6,1.6606693578245757,0.21895480979769108,0.21895480979769108,2.863949515703118,0.27017203544825946,0.2697501114497731
40,2.0,1e-06,0.9,1.6606693578245757,0.2191230655794239,0.2191230655794239,2.863949515703118,0.2696639839142735,0.2709000013209816
41,2.0,1e-06,0.98,1.6606693578245757,0.2191907828040375,0.2191907828040375,2.863949515703118,0.269621578355282,0.271099091615242
42,2.0,0.01,0.6,1.6724852358523872,0.21423267000166532,0.21423267000166532,2.8620427920415255,0.28424387856142946,0.2925849511463394
43,2.0,0.01,0.9,1.6724852358523872,0.2137828618388488,0.2137828618388488,2.8620427920415255,0.2812631126300287,0.2896035776032941
44,2.0,0.01,0.98,1.6724852358523872,0.21364864883118342,0.21364864883118342,2.8620427920415255,0.2806486050236009,0.2889089421302757
45,2.0,0.1,0.6,1.731726026994457,0.20162101300489071,0.20162101300489071,2.9093439507310435,0.2554154972528208,0.259311940609447
46,2.0,0.1,0.9,1.731726026994457,0.20146909550022776,0.20146909550022776,2.9093439507310435,0.2554395141217998,0.259922866762607
47,2.0,0.1,0.98,1.731726026994457,0.20144117659683988,0.20144117659683988,2.9093439507310435,0.2556163052544094,0.2597336866433842
